Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
89,2.967,22.585,5.420,0.086,1.000,16.814,25.172,14.223,17.303,3.600,4.800,20.703,15.973,4.430,20.703,15.973,4.430,4.952,1.073,0.606,-11.909,-0.453,-177.268,4.613,8.173,1.772,20.431,15.054,4.400,0.130
90,0.233,2.079,0.962,0.684,0.000,34.752,35.388,23.168,24.488,3.600,4.400,35.082,23.827,4.174,35.082,23.827,4.174,0.773,0.452,0.350,-82.049,10.895,79.773,1.711,2.209,1.291,35.046,23.364,4.000,0.081
91,0.075,0.840,0.460,1.062,1.000,16.227,16.765,33.237,33.872,3.600,4.000,16.509,33.558,3.800,16.509,33.558,3.800,0.462,0.408,0.224,53.338,-4.288E-26,90.000,1.131,2.063,1.824,16.325,33.286,3.600,0.081
92,0.313,2.810,1.019,0.501,-0.500,39.493,40.569,20.089,21.115,4,4.800,40.057,20.632,4.357,40.057,20.632,4.357,0.788,0.461,0.411,32.046,-40.220,-2.783,1.708,1.919,1.123,40.178,20.627,4.400,0.130
93,0.074,0.900,0.460,0.839,0.500,32.797,33.384,24.488,24.977,4,4.400,33.082,24.728,4.200,33.082,24.728,4.200,0.408,0.376,0.263,0.000,-90.000,-117.866,1.087,1.551,1.427,32.944,24.635,4.000,0.081
94,0.203,1.880,0.637,0.699,1.000,36.610,37.294,26.981,27.763,4,4.800,36.968,27.390,4.396,36.968,27.390,4.396,0.658,0.438,0.321,85.487,62.922,21.079,1.501,2.048,1.364,37.050,27.274,4.400,0.130
95,0.338,3.781,2.150,0.240,1.000,35.583,36.561,36.267,38.662,4,4.800,36.018,37.489,4.279,36.018,37.489,4.279,1.657,0.542,0.352,79.490,6.255,65.143,3.056,4.704,1.539,36.072,36.365,4.000,0.081
96,0.105,1.069,0.500,1.024,1.000,32.748,33.433,23.901,24.390,4.400,4.800,33.083,24.143,4.600,33.083,24.143,4.600,0.431,0.408,0.300,16.280,-3.164E-25,90.000,1.057,1.438,1.360,32.846,23.950,4.400,0.081
97,0.057,0.671,0.386,1.228,1.000,16.472,16.863,33.433,33.970,4.400,4.800,16.662,33.696,4.600,16.662,33.696,4.600,0.408,0.352,0.229,-71.614,-90.000,40.995,1.161,1.782,1.535,16.521,33.481,4.400,0.081
98,0.083,1.024,0.597,0.729,1.000,14.957,15.641,34.508,35.388,4.400,4.800,15.281,34.967,4.600,15.281,34.967,4.600,0.620,0.408,0.200,51.917,-4.828E-26,90.000,1.519,3.105,2.044,15.006,34.606,4.400,0.081
255,2.664,93.617,63.329,9.785E-4,200.500,5.181,47.705,1.075,42.475,0,4.800,24.845,27.707,2.061,24.845,27.707,2.061,25.327,20.049,3.053,-0.644,0.403,179.126,1.263,8.297,6.568,18.183,4.106,0.000,0.065
