
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
31139,,Surface,1,Image 1,1,Class A,1369,
34082,,Surface,1,Image 1,1,Class A,1370,
13800,,Surface,1,Image 1,1,Class A,1371,
26809,,Surface,1,Image 1,1,Class A,1372,
9330,,Surface,1,Image 1,1,Class A,1373,
21185,,Surface,1,Image 1,1,Class A,1374,
10441,,Surface,1,Image 1,1,Class A,1376,
10859,,Surface,1,Image 1,1,Class A,1378,
9133,,Surface,1,Image 1,1,Class A,1379,
57219,,Surface,1,Image 1,1,Class B,1380,
18788,,Surface,1,Image 1,1,Class A,1381,
30264,,Surface,1,Image 1,1,Class A,1382,
13834,,Surface,1,Image 1,1,Class A,1383,
25144,,Surface,1,Image 1,1,Class A,1384,
50118,,Surface,1,Image 1,1,Class A,1385,
42449,,Surface,1,Image 1,1,Class A,1386,
16579,,Surface,1,Image 1,1,Class A,1387,
11660,,Surface,1,Image 1,1,Class A,1388,
9863,,Surface,1,Image 1,1,Class A,1389,
32968,,Surface,1,Image 1,1,Class A,1390,
32586,,Surface,1,Image 1,1,Class A,1391,
45191,,Surface,1,Image 1,1,Class A,1392,
25314,,Surface,1,Image 1,1,Class A,1393,
22097,,Surface,1,Image 1,1,Class A,1394,
32037,,Surface,1,Image 1,1,Class A,1395,
36722,,Surface,1,Image 1,1,Class A,1396,
