Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
38,0.082,1.116,0.449,0.550,1.000,2.639,3.128,34.166,34.606,0,1.200,2.865,34.371,0.749,2.865,34.371,0.749,0.902,0.281,0.236,46.092,-78.203,18.819,3.212,3.828,1.192,2.786,34.215,0.000,0.081
39,0.455,4.325,1.191,0.289,1.000,23.217,24.243,34.166,35.143,0,2.000,23.736,34.743,0.923,23.736,34.743,0.923,1.237,0.565,0.383,-25.098,-81.505,155.334,2.190,3.232,1.476,23.559,34.703,0.000,0.147
40,0.444,3.998,1.107,0.349,1.000,4.448,5.474,34.557,35.534,0,2.000,4.937,35.129,1.014,4.937,35.129,1.014,1.393,0.445,0.372,31.194,-73.816,-129.041,3.129,3.747,1.198,4.839,35.046,0.000,0.147
41,0.508,5.159,1.296,0.213,-1.000,39.445,40.764,35.583,36.414,0,2.000,40.075,35.948,0.883,40.075,35.948,0.883,1.179,0.722,0.375,85.022,-87.944,-4.833,1.633,3.147,1.927,40.422,35.828,0.000,0.130
42,0.290,3.090,0.716,0.321,1.000,26.785,27.763,36.952,37.734,0,1.600,27.319,37.296,0.576,27.319,37.296,0.576,0.884,0.666,0.246,-75.578,-88.850,19.318,1.328,3.601,2.710,27.518,37.392,0.000,0.179
43,0.088,0.973,0.357,0.950,1.000,29.425,29.816,37.441,37.880,0,0.800,29.623,37.683,0.422,29.623,37.683,0.422,0.609,0.263,0.253,-54.174,-81.864,99.585,2.315,2.401,1.037,29.571,37.636,0.000,0.130
44,0.332,3.139,0.756,0.402,1.000,33.530,34.312,37.147,37.929,0,2.000,33.936,37.582,1.040,33.936,37.582,1.040,1.253,0.380,0.345,31.049,78.914,-13.273,3.295,3.627,1.101,33.970,37.636,0.000,0.147
45,0.172,1.708,0.488,0.672,1.000,23.070,23.608,37.685,38.223,0,1.200,23.344,37.943,0.587,23.344,37.943,0.587,0.841,0.320,0.272,70.366,89.515,11.883,2.633,3.095,1.175,23.266,37.880,0.000,0.147
46,0.816,7.339,1.555,0.191,-1.000,34.948,36.512,37.245,38.174,0,2.400,35.752,37.767,1.306,35.752,37.767,1.306,1.416,0.923,0.338,47.567,74.096,-34.781,1.534,4.194,2.734,35.290,37.978,0.000,0.130
47,1.535,12.645,2.201,0.132,2.000,30.255,32.162,37.734,39.542,0,2.400,31.072,38.526,1.305,31.072,38.526,1.305,1.591,0.978,0.601,-41.752,-65.679,84.562,1.627,2.647,1.627,31.038,38.320,0.000,0.130
48,3.182,23.723,3.188,0.086,1.500,25.563,29.034,38.223,40.618,0,3.600,27.470,39.340,2.457,27.470,39.340,2.457,2.128,1.783,0.635,-27.719,14.293,-86.074,1.193,3.350,2.807,27.274,39.200,1.200,0.147
49,1.392,12.133,2.593,0.123,-1.000,8.700,10.802,39.249,41.449,0,3.200,9.646,40.431,1.588,9.646,40.431,1.588,1.718,1.454,0.429,-47.732,40.751,-93.776,1.182,4.010,3.393,9.971,40.080,0.000,0.130
50,1.825,14.770,2.487,0.117,1.500,12.659,14.517,39.445,41.693,0,2.800,13.678,40.395,1.272,13.678,40.395,1.272,1.710,0.978,0.657,76.157,58.857,14.559,1.749,2.603,1.488,14.175,40.275,0.000,0.147
51,2.745,21.732,3.991,0.083,0.500,15.690,18.036,40.422,43.306,0,4.000,16.913,42.071,1.675,16.913,42.071,1.675,2.357,1.253,0.879,-60.371,62.411,60.480,1.881,2.683,1.426,16.814,42.670,0.400,0.147
52,0.546,5.193,1.683,0.241,0.000,28.154,29.816,40.618,42.622,0,2.800,28.967,41.612,1.583,28.967,41.612,1.583,1.884,0.495,0.351,-47.138,-48.166,118.632,3.807,5.368,1.410,28.251,42.377,0.000,0.081
53,0.458,4.051,1.044,0.356,1.000,12.171,13.246,43.110,44.332,0,2.400,12.690,43.707,1.165,12.690,43.707,1.165,1.567,0.392,0.310,-52.049,-67.042,90.476,3.997,5.052,1.264,12.464,43.941,0.000,0.147
54,1.091,10.125,2.533,0.130,-2.000,10.655,12.415,44.283,46.239,0,2.800,11.365,45.121,1.310,11.365,45.121,1.310,1.923,0.754,0.582,-58.363,-57.119,-158.556,2.552,3.304,1.294,10.949,45.114,0.400,0.130
55,1.458,10.433,1.547,0.212,4.500,15.934,17.449,44.186,45.652,0,2.800,16.637,44.912,1.388,16.637,44.912,1.388,1.668,0.691,0.520,-14.398,-71.228,-179.800,2.413,3.210,1.330,16.179,44.968,0.000,0.179
56,0.334,3.688,1.036,0.251,0.000,9.336,10.264,45.652,46.776,0,1.600,9.767,46.225,0.805,9.767,46.225,0.805,1.141,0.570,0.298,-73.914,-64.639,-155.782,2.003,3.826,1.910,9.824,46.532,0.000,0.114
57,0.395,4.335,1.361,0.216,1.500,19.258,20.822,46.630,48.487,0,1.200,19.996,47.495,0.556,19.996,47.495,0.556,1.288,0.698,0.240,46.953,27.824,-84.695,1.844,5.360,2.906,20.235,47.705,0.000,0.130
58,0.079,1.032,0.450,0.647,1.000,31.184,31.771,0.196,0.684,0.400,1.200,31.481,0.448,0.855,31.481,0.448,0.855,0.642,0.321,0.240,46.668,-63.934,67.212,2.002,2.676,1.336,31.233,0.244,0.400,0.081
59,1.767,15.976,3.646,0.087,1.000,30.109,34.263,7.918,9.433,0.400,3.200,31.887,8.595,2.088,31.887,8.595,2.088,2.851,1.241,0.614,1.680,-17.449,89.792,2.297,4.641,2.020,30.647,8.309,0.800,0.130
60,0.145,1.809,0.456,0.403,1.000,37.294,37.783,12.757,13.197,0.400,2.400,37.542,12.989,1.597,37.542,12.989,1.597,1.212,0.261,0.240,0.657,-85.924,63.622,4.635,5.041,1.088,37.538,12.953,1.600,0.114
